id,name,price,description
1,Toyota,8881.82,Networked heuristic toolset
2,Ford,1964.14,Advanced uniform function
3,Pontiac,7884.21,Polarised full-range hardware
4,Oldsmobile,2357.7,Versatile client-driven firmware
5,Audi,609.59,Stand-alone needs-based algorithm
6,Ford,1924.05,Seamless disintermediate contingency
7,Mercedes-Benz,2253.06,Phased executive standardization
8,Pontiac,4169.19,Programmable zero defect service-desk
9,Nissan,8245.49,Devolved content-based application
10,Toyota,3209.65,Front-line transitional time-frame
11,Land Rover,4951.69,Assimilated bandwidth-monitored analyzer
12,Hyundai,3828.17,Re-engineered web-enabled hierarchy
13,Mitsubishi,1789.4,Persevering didactic projection
14,Volkswagen,818.69,Mandatory asynchronous Graphical User Interface
15,Ferrari,6415.75,Multi-tiered explicit protocol
16,GMC,767.92,Realigned attitude-oriented instruction set
17,Acura,9490.11,Sharable 4th generation matrix
18,Ford,9342.37,Multi-tiered solution-oriented frame
19,Mercedes-Benz,9848.82,Phased analyzing concept
20,Acura,7850.27,Enterprise-wide non-volatile infrastructure
21,Dodge,2494.76,Cloned analyzing challenge
22,Mazda,9843.54,Quality-focused disintermediate forecast
23,Volkswagen,2533.68,Cross-platform zero defect process improvement
24,Austin,4735.27,Secured impactful ability
25,Acura,7190.65,Configurable homogeneous product
26,Toyota,7771.35,Reduced cohesive hub
27,BMW,2558.53,Monitored bi-directional database
28,Lexus,6619.72,User-friendly tertiary moratorium
29,Volvo,508.14,Total maximized pricing structure
30,Volkswagen,2922.73,Multi-tiered next generation encoding
31,Infiniti,2108.79,Compatible systemic structure
32,Ford,7750.45,Ameliorated value-added data-warehouse
33,BMW,2410.16,Grass-roots leading edge structure
34,Nissan,9136.78,Self-enabling contextually-based encoding
35,Ford,8647.8,Customizable analyzing time-frame
36,Chevrolet,9427.42,Function-based tangible project
37,Mercury,5614.94,Switchable user-facing middleware
38,Lexus,7216.26,Fully-configurable cohesive portal
39,Daewoo,7319.83,Optimized local encoding
40,Lexus,2274.53,Face to face maximized Graphic Interface
41,Chevrolet,7582.17,Re-contextualized homogeneous budgetary management
42,Audi,7019.48,Synchronised tangible paradigm
43,Suzuki,5358.99,Re-contextualized real-time info-mediaries
44,Volkswagen,3315.31,Face to face dedicated Graphic Interface
45,Mercedes-Benz,6586.67,Face to face 24 hour alliance
46,Honda,3691.57,Down-sized disintermediate database
47,Mercury,3092.93,Cross-platform uniform info-mediaries
48,Mazda,1975.94,Organic solution-oriented solution
49,Mercedes-Benz,1745.72,Centralized bandwidth-monitored info-mediaries
50,Ford,2973.14,Triple-buffered systematic success
51,Chevrolet,1467.58,Synergized well-modulated hardware
52,Saab,6947.12,Virtual responsive circuit
53,Land Rover,8498.88,Object-based responsive extranet
54,Chevrolet,8051.98,Visionary directional orchestration
55,Ford,2020.22,Fully-configurable optimizing customer loyalty
56,Mitsubishi,7246.05,Up-sized multimedia open architecture
57,Jaguar,620.8,Persevering cohesive ability
58,Kia,7117.77,Grass-roots discrete leverage
59,Mercury,2850.26,Programmable asynchronous functionalities
60,Volkswagen,1893.88,Re-engineered 24 hour moratorium
61,Chevrolet,8872.62,Vision-oriented well-modulated pricing structure
62,GMC,3336.56,Compatible client-server utilisation
63,BMW,7367.44,Persistent heuristic installation
64,Toyota,384.72,User-centric exuding standardization
65,Dodge,8777.63,Quality-focused contextually-based capability
66,Jeep,1364.48,Re-contextualized eco-centric task-force
67,Maybach,5336.26,Visionary human-resource system engine
68,Kia,182.22,Function-based methodical Graphical User Interface
69,Plymouth,7105.53,Balanced stable monitoring
70,Dodge,5005.98,Centralized mobile leverage
71,Mercedes-Benz,8220.45,Proactive zero tolerance capacity
72,Lexus,3908.23,Total system-worthy time-frame
73,Volkswagen,250.24,Pre-emptive holistic toolset
74,Audi,3367.92,Vision-oriented dedicated ability
75,Mitsubishi,6374.09,Sharable impactful hub
76,Infiniti,8037.74,Future-proofed system-worthy infrastructure
77,Chevrolet,7704.73,Pre-emptive solution-oriented contingency
78,Maserati,1784.74,Re-engineered full-range focus group
79,Ram,2015.56,Fully-configurable non-volatile productivity
80,Chevrolet,1126.77,Programmable intermediate project
81,Dodge,3827.61,Innovative real-time internet solution
82,Chevrolet,4498.68,Monitored neutral system engine
83,Volkswagen,2834.53,Team-oriented analyzing core
84,Volvo,87.5,Adaptive leading edge productivity
85,Land Rover,1459.4,Self-enabling incremental time-frame
86,Jeep,5164.81,Realigned holistic project
87,Volvo,3835.82,Profit-focused maximized knowledge base
88,Volkswagen,9656.42,Enhanced web-enabled solution
89,Chevrolet,7440.44,Business-focused optimizing productivity
90,Nissan,2539.25,Reduced demand-driven ability
91,Chevrolet,4909.13,Proactive composite challenge
92,Lexus,9382.49,Streamlined uniform task-force
93,Chrysler,6073.46,Re-contextualized content-based pricing structure
94,Ford,2810.66,Robust bi-directional Graphic Interface
95,Ford,6721.31,Digitized object-oriented project
96,Kia,3446.7,Integrated tangible instruction set
97,Porsche,9884.1,Seamless directional algorithm
98,Saturn,2074.2,Programmable asynchronous encryption
99,Ford,7167.2,Object-based systemic interface
100,Hyundai,3174.47,Reactive fresh-thinking knowledge user
